query_id,score
1,0.0
10,0.0
100,0.0
1001,0.0
1002,0.0
1003,0.2
1004,0.6
1005,0.1
1006,0.0
1007,0.0
1008,0.0
1009,0.2
101,0.0
1010,0.2
1011,0.1
1012,0.2
1013,0.4
1014,0.5
1015,0.1
1016,0.2
1017,0.1
1018,0.4
1019,0.5
102,0.0
1020,0.0
1021,0.0
1022,0.2
1023,0.2
1024,0.0
1025,0.0
1026,0.2
1027,0.3
1028,0.2
1029,0.0
103,0.0
1030,0.1
1031,0.0
1032,0.1
1033,0.2
1034,0.0
1035,0.2
1036,0.0
1037,0.2
1038,0.4
1039,0.1
104,0.0
1040,0.0
1041,0.0
1042,0.1
1043,0.2
1044,0.2
1045,0.0
1046,0.0
1047,0.3
1048,0.0
1049,0.1
105,0.1
1050,0.0
1051,0.2
1052,0.2
1053,0.0
1054,0.3
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
106,0.0
1060,0.1
1061,0.7
1062,0.2
1063,0.0
1064,0.2
1065,0.0
1066,0.2
1067,0.0
1068,0.0
1069,0.1
107,0.0
1070,0.0
1071,0.3
1072,0.4
1073,0.0
1074,0.0
1075,0.1
1076,0.0
1077,0.2
1078,0.0
1079,0.1
108,0.0
1080,0.1
1081,0.0
1082,0.1
1083,0.3
1084,0.1
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
109,0.4
1090,0.3
1091,0.0
1092,0.3
1093,0.0
1094,0.0
1095,0.0
1096,0.3
1097,0.0
1098,0.0
1099,0.2
11,0.0
110,0.0
1100,0.2
1101,0.5
1102,0.2
1103,0.0
1104,0.0
1105,0.1
1106,0.1
1107,0.2
1108,0.0
1109,0.2
111,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.1
1115,0.1
1116,0.2
1117,0.5
1118,0.1
1119,0.4
112,0.0
1120,0.1
1121,0.0
1122,0.0
1123,0.5
1124,0.0
1125,0.0
1126,0.0
1127,0.1
1128,0.1
1129,0.8
113,0.2
1130,0.1
1131,0.0
1132,0.1
1133,0.0
1134,0.4
1135,0.0
1136,0.1
1137,0.0
1138,0.7
1139,0.0
114,0.2
1140,0.1
1141,0.0
1142,0.0
1143,0.3
1144,0.4
1145,0.1
1146,0.0
1147,0.1
1148,0.2
1149,0.5
115,0.0
1150,0.2
1151,0.0
1152,0.0
1153,0.4
1154,0.1
1155,0.0
